1763595388491,ghost,68057,Master Bedroom,,0,0,INIT,raiju
1763595388510,ghost,68057,Master Bedroom,,1,0,MOVE,Hallway
1763595388512,ghost,68057,Hallway,,0,0,IDLE,
1763595388515,ghost,68057,Hallway,,0,0,IDLE,
1763595388520,ghost,68057,Hallway,,0,0,EVIDENCE,orbs
1763595388523,ghost,68057,Hallway,,0,0,EVIDENCE,infrared
1763595388526,ghost,68057,Hallway,,1,0,MOVE,Van
1763595388529,ghost,68057,Van,,2,0,MOVE,Hallway
1763595388531,ghost,68057,Hallway,,0,0,EVIDENCE,emf
1763595388534,ghost,68057,Hallway,,0,0,EVIDENCE,infrared
1763595388537,ghost,68057,Hallway,,0,0,EVIDENCE,emf
1763595388540,ghost,68057,Hallway,,0,0,EVIDENCE,emf
1763595388543,ghost,68057,Hallway,,0,0,IDLE,
1763595388545,ghost,68057,Hallway,,0,0,IDLE,
1763595388549,ghost,68057,Hallway,,0,0,IDLE,
1763595388553,ghost,68057,Hallway,,0,0,IDLE,
1763595388557,ghost,68057,Hallway,,0,0,IDLE,
1763595388564,ghost,68057,Hallway,,0,0,EVIDENCE,orbs
1763595388567,ghost,68057,Hallway,,0,0,EVIDENCE,emf
1763595388571,ghost,68057,Hallway,,0,0,EVIDENCE,emf
1763595388576,ghost,68057,Hallway,,0,0,IDLE,
1763595388578,ghost,68057,Hallway,,0,0,EVIDENCE,infrared
1763595388582,ghost,68057,Hallway,,0,0,IDLE,
1763595388584,ghost,68057,Hallway,,0,0,EVIDENCE,emf
1763595388588,ghost,68057,Hallway,,0,0,EVIDENCE,orbs
1763595388591,ghost,68057,Hallway,,0,0,EVIDENCE,infrared
1763595388594,ghost,68057,Hallway,,0,0,EVIDENCE,orbs
1763595388596,ghost,68057,Hallway,,1,0,MOVE,Master Bedroom
1763595388599,ghost,68057,Master Bedroom,,2,0,EVIDENCE,emf
1763595388603,ghost,68057,Master Bedroom,,3,0,IDLE,
1763595388608,ghost,68057,Master Bedroom,,4,0,IDLE,
1763595388611,ghost,68057,Master Bedroom,,5,0,MOVE,Hallway
1763595388613,ghost,68057,Hallway,,0,0,IDLE,
1763595388616,ghost,68057,Hallway,,0,0,IDLE,
1763595388621,ghost,68057,Hallway,,0,0,EVIDENCE,infrared
1763595388623,ghost,68057,Hallway,,0,0,IDLE,
1763595388627,ghost,68057,Hallway,,0,0,EVIDENCE,infrared
1763595388634,ghost,68057,Hallway,,0,0,IDLE,
1763595388637,ghost,68057,Hallway,,0,0,IDLE,
1763595388640,ghost,68057,Hallway,,0,0,IDLE,
1763595388642,ghost,68057,Hallway,,0,0,IDLE,
1763595388646,ghost,68057,Hallway,,0,0,IDLE,
1763595388651,ghost,68057,Hallway,,0,0,IDLE,
1763595388654,ghost,68057,Hallway,,0,0,EVIDENCE,orbs
1763595388657,ghost,68057,Hallway,,0,0,IDLE,
1763595388660,ghost,68057,Hallway,,0,0,EVIDENCE,orbs
1763595388662,ghost,68057,Hallway,,0,0,IDLE,
1763595388665,ghost,68057,Hallway,,0,0,IDLE,
1763595388667,ghost,68057,Hallway,,0,0,IDLE,
1763595388669,ghost,68057,Hallway,,0,0,IDLE,
1763595388671,ghost,68057,Hallway,,0,0,IDLE,
1763595388674,ghost,68057,Hallway,,0,0,IDLE,
1763595388677,ghost,68057,Hallway,,0,0,EVIDENCE,infrared
1763595388679,ghost,68057,Hallway,,0,0,EVIDENCE,emf
1763595388683,ghost,68057,Hallway,,0,0,EVIDENCE,emf
1763595388685,ghost,68057,Hallway,,0,0,IDLE,
1763595388688,ghost,68057,Hallway,,0,0,IDLE,
1763595388693,ghost,68057,Hallway,,0,0,EVIDENCE,orbs
1763595388696,ghost,68057,Hallway,,0,0,EVIDENCE,infrared
1763595388698,ghost,68057,Hallway,,0,0,EVIDENCE,orbs
1763595388700,ghost,68057,Hallway,,0,0,IDLE,
1763595388704,ghost,68057,Hallway,,0,0,IDLE,
1763595388706,ghost,68057,Hallway,,0,0,IDLE,
1763595388710,ghost,68057,Hallway,,0,0,EVIDENCE,emf
1763595388714,ghost,68057,Hallway,,0,0,EVIDENCE,emf
1763595388717,ghost,68057,Hallway,,0,0,EVIDENCE,orbs
1763595388721,ghost,68057,Hallway,,0,0,EVIDENCE,infrared
1763595388725,ghost,68057,Hallway,,0,0,IDLE,
1763595388729,ghost,68057,Hallway,,0,0,IDLE,
1763595388731,ghost,68057,Hallway,,0,0,IDLE,
1763595388733,ghost,68057,Hallway,,1,0,MOVE,Master Bedroom
1763595388736,ghost,68057,Master Bedroom,,2,0,EVIDENCE,orbs
1763595388740,ghost,68057,Master Bedroom,,3,0,MOVE,Hallway
1763595388742,ghost,68057,Hallway,,0,0,IDLE,
1763595388746,ghost,68057,Hallway,,0,0,IDLE,
1763595388748,ghost,68057,Hallway,,0,0,EVIDENCE,emf
1763595388751,ghost,68057,Hallway,,0,0,EVIDENCE,infrared
1763595388753,ghost,68057,Hallway,,0,0,IDLE,
1763595388755,ghost,68057,Hallway,,0,0,IDLE,
1763595388757,ghost,68057,Hallway,,0,0,IDLE,
1763595388760,ghost,68057,Hallway,,0,0,IDLE,
1763595388763,ghost,68057,Hallway,,0,0,IDLE,
1763595388766,ghost,68057,Hallway,,0,0,IDLE,
1763595388769,ghost,68057,Hallway,,0,0,IDLE,
1763595388771,ghost,68057,Hallway,,0,0,EVIDENCE,orbs
1763595388775,ghost,68057,Hallway,,0,0,EVIDENCE,infrared
1763595388779,ghost,68057,Hallway,,0,0,EVIDENCE,orbs
1763595388785,ghost,68057,Hallway,,0,0,IDLE,
1763595388787,ghost,68057,Hallway,,0,0,EVIDENCE,emf
1763595388792,ghost,68057,Hallway,,0,0,IDLE,
1763595388795,ghost,68057,Hallway,,0,0,IDLE,
1763595388798,ghost,68057,Hallway,,0,0,IDLE,
1763595388802,ghost,68057,Hallway,,0,0,EVIDENCE,infrared
1763595388806,ghost,68057,Hallway,,0,0,IDLE,
1763595388808,ghost,68057,Hallway,,0,0,EVIDENCE,infrared
1763595388812,ghost,68057,Hallway,,1,0,EVIDENCE,infrared
1763595388815,ghost,68057,Hallway,,0,0,EVIDENCE,orbs
1763595388817,ghost,68057,Hallway,,0,0,EVIDENCE,emf
1763595388820,ghost,68057,Hallway,,0,0,EVIDENCE,emf
1763595388823,ghost,68057,Hallway,,0,0,EVIDENCE,orbs
1763595388826,ghost,68057,Hallway,,0,0,EVIDENCE,emf
1763595388828,ghost,68057,Hallway,,0,0,IDLE,
1763595388833,ghost,68057,Hallway,,0,0,IDLE,
1763595388836,ghost,68057,Hallway,,0,0,IDLE,
1763595388839,ghost,68057,Hallway,,0,0,IDLE,
1763595388842,ghost,68057,Hallway,,0,0,EVIDENCE,infrared
1763595388844,ghost,68057,Hallway,,0,0,IDLE,
1763595388847,ghost,68057,Hallway,,0,0,EVIDENCE,emf
1763595388850,ghost,68057,Hallway,,0,0,EVIDENCE,orbs
1763595388853,ghost,68057,Hallway,,0,0,EVIDENCE,orbs
1763595388855,ghost,68057,Hallway,,0,0,IDLE,
1763595388861,ghost,68057,Hallway,,0,0,IDLE,
1763595388866,ghost,68057,Hallway,,0,0,IDLE,
1763595388871,ghost,68057,Hallway,,0,0,IDLE,
1763595388874,ghost,68057,Hallway,,0,0,IDLE,
1763595388877,ghost,68057,Hallway,,0,0,EVIDENCE,orbs
1763595388880,ghost,68057,Hallway,,0,0,IDLE,
1763595388883,ghost,68057,Hallway,,0,0,EVIDENCE,emf
1763595388885,ghost,68057,Hallway,,0,0,EVIDENCE,orbs
