1763595388889,ghost,68057,Hallway,,0,0,EVIDENCE,orbs
1763595388891,ghost,68057,Hallway,,0,0,IDLE,
1763595388894,ghost,68057,Hallway,,0,0,EVIDENCE,orbs
1763595388897,ghost,68057,Hallway,,0,0,EVIDENCE,orbs
1763595388900,ghost,68057,Hallway,,0,0,IDLE,
1763595388902,ghost,68057,Hallway,,0,0,EVIDENCE,emf
1763595388905,ghost,68057,Hallway,,0,0,EVIDENCE,emf
1763595388908,ghost,68057,Hallway,,0,0,IDLE,
1763595388911,ghost,68057,Hallway,,0,0,EVIDENCE,orbs
1763595388914,ghost,68057,Hallway,,0,0,IDLE,
1763595388917,ghost,68057,Hallway,,0,0,IDLE,
1763595388920,ghost,68057,Hallway,,0,0,IDLE,
1763595388922,ghost,68057,Hallway,,0,0,EVIDENCE,orbs
1763595388925,ghost,68057,Hallway,,1,0,MOVE,Boy's Bedroom
1763595388928,ghost,68057,Boy's Bedroom,,2,0,IDLE,
1763595388931,ghost,68057,Boy's Bedroom,,3,0,IDLE,
1763595388933,ghost,68057,Boy's Bedroom,,4,0,MOVE,Hallway
1763595388941,ghost,68057,Hallway,,0,0,EVIDENCE,infrared
1763595388944,ghost,68057,Hallway,,1,0,MOVE,Master Bedroom
1763595388948,ghost,68057,Master Bedroom,,2,0,EVIDENCE,infrared
1763595388952,ghost,68057,Master Bedroom,,3,0,MOVE,Hallway
1763595388954,ghost,68057,Hallway,,0,0,IDLE,
1763595388957,ghost,68057,Hallway,,0,0,IDLE,
1763595388960,ghost,68057,Hallway,,0,0,IDLE,
1763595388963,ghost,68057,Hallway,,1,0,EVIDENCE,infrared
1763595388966,ghost,68057,Hallway,,2,0,MOVE,Kitchen
1763595388969,ghost,68057,Kitchen,,3,0,MOVE,Garage
1763595388971,ghost,68057,Garage,,4,0,EVIDENCE,emf
1763595388974,ghost,68057,Garage,,5,0,MOVE,Kitchen
1763595388976,ghost,68057,Kitchen,,6,0,EVIDENCE,orbs
1763595388979,ghost,68057,Kitchen,,7,0,IDLE,
1763595388982,ghost,68057,Kitchen,,8,0,EVIDENCE,infrared
1763595388985,ghost,68057,Kitchen,,9,0,EVIDENCE,infrared
1763595388988,ghost,68057,Kitchen,,10,0,IDLE,
1763595388991,ghost,68057,Kitchen,,11,0,IDLE,
1763595388993,ghost,68057,Kitchen,,12,0,MOVE,Living Room
1763595388996,ghost,68057,Living Room,,13,0,MOVE,Kitchen
1763595388998,ghost,68057,Kitchen,,14,0,MOVE,Garage
1763595389001,ghost,68057,Garage,,15,0,EXIT,
1763595411441,ghost,68057,Left Storage Room,,0,0,INIT,deogen
1763595411447,ghost,68057,Left Storage Room,,1,0,MOVE,Basement Hallway
1763595411450,ghost,68057,Basement Hallway,,2,0,MOVE,Basement
1763595411453,ghost,68057,Basement,,3,0,MOVE,Hallway
1763595411456,ghost,68057,Hallway,,4,0,IDLE,
1763595411460,ghost,68057,Hallway,,5,0,MOVE,Master Bedroom
1763595411464,ghost,68057,Master Bedroom,,6,0,MOVE,Hallway
1763595411467,ghost,68057,Hallway,,7,0,IDLE,
1763595411470,ghost,68057,Hallway,,8,0,IDLE,
1763595411475,ghost,68057,Hallway,,9,0,IDLE,
1763595411479,ghost,68057,Hallway,,10,0,MOVE,Boy's Bedroom
1763595411481,ghost,68057,Boy's Bedroom,,11,0,IDLE,
1763595411484,ghost,68057,Boy's Bedroom,,12,0,MOVE,Hallway
1763595411487,ghost,68057,Hallway,,0,0,IDLE,
1763595411492,ghost,68057,Hallway,,1,0,MOVE,Kitchen
1763595411497,ghost,68057,Kitchen,,2,0,MOVE,Garage
1763595411501,ghost,68057,Garage,,3,0,IDLE,
1763595411505,ghost,68057,Garage,,4,0,MOVE,Utility Room
1763595411510,ghost,68057,Utility Room,,5,0,MOVE,Garage
1763595411513,ghost,68057,Garage,,6,0,EVIDENCE,writing
1763595411516,ghost,68057,Garage,,7,0,MOVE,Kitchen
1763595411520,ghost,68057,Kitchen,,8,0,IDLE,
1763595411524,ghost,68057,Kitchen,,9,0,MOVE,Hallway
1763595411528,ghost,68057,Hallway,,0,0,IDLE,
1763595411532,ghost,68057,Hallway,,0,0,EVIDENCE,writing
1763595411535,ghost,68057,Hallway,,0,0,EVIDENCE,infrared
1763595411541,ghost,68057,Hallway,,0,0,EVIDENCE,infrared
1763595411544,ghost,68057,Hallway,,1,0,MOVE,Kitchen
1763595411548,ghost,68057,Kitchen,,0,0,IDLE,
1763595411550,ghost,68057,Kitchen,,1,0,MOVE,Living Room
1763595411554,ghost,68057,Living Room,,2,0,IDLE,
1763595411558,ghost,68057,Living Room,,3,0,IDLE,
1763595411560,ghost,68057,Living Room,,0,0,IDLE,
1763595411563,ghost,68057,Living Room,,1,0,EVIDENCE,infrared
1763595411566,ghost,68057,Living Room,,0,0,EVIDENCE,writing
1763595411569,ghost,68057,Living Room,,1,0,MOVE,Kitchen
1763595411573,ghost,68057,Kitchen,,0,0,IDLE,
1763595411580,ghost,68057,Kitchen,,1,0,IDLE,
1763595411583,ghost,68057,Kitchen,,2,0,MOVE,Hallway
1763595411586,ghost,68057,Hallway,,3,0,MOVE,Bathroom
1763595411591,ghost,68057,Bathroom,,4,0,IDLE,
1763595411593,ghost,68057,Bathroom,,5,0,MOVE,Hallway
1763595411596,ghost,68057,Hallway,,0,0,EVIDENCE,infrared
1763595411600,ghost,68057,Hallway,,1,0,MOVE,Basement
1763595411602,ghost,68057,Basement,,0,0,IDLE,
1763595411606,ghost,68057,Basement,,1,0,MOVE,Basement Hallway
1763595411609,ghost,68057,Basement Hallway,,2,0,IDLE,
1763595411612,ghost,68057,Basement Hallway,,3,0,MOVE,Right Storage Room
1763595411615,ghost,68057,Right Storage Room,,4,0,MOVE,Basement Hallway
1763595411618,ghost,68057,Basement Hallway,,5,0,IDLE,
1763595411622,ghost,68057,Basement Hallway,,6,0,IDLE,
1763595411625,ghost,68057,Basement Hallway,,7,0,EVIDENCE,radio
1763595411628,ghost,68057,Basement Hallway,,8,0,IDLE,
1763595411631,ghost,68057,Basement Hallway,,9,0,EVIDENCE,radio
1763595411633,ghost,68057,Basement Hallway,,10,0,MOVE,Right Storage Room
1763595411636,ghost,68057,Right Storage Room,,11,0,EVIDENCE,infrared
1763595411639,ghost,68057,Right Storage Room,,12,0,IDLE,
1763595411641,ghost,68057,Right Storage Room,,13,0,MOVE,Basement Hallway
1763595411644,ghost,68057,Basement Hallway,,14,0,MOVE,Left Storage Room
1763595411646,ghost,68057,Left Storage Room,,15,0,EXIT,
1763595500243,ghost,68057,Basement,,0,0,INIT,thaye
1763595500253,ghost,68057,Basement,,1,0,MOVE,Hallway
1763595500255,ghost,68057,Hallway,,0,0,IDLE,
1763595500259,ghost,68057,Hallway,,1,0,MOVE,Master Bedroom
1763595500262,ghost,68057,Master Bedroom,,2,0,EVIDENCE,infrared
1763595500265,ghost,68057,Master Bedroom,,3,0,IDLE,
1763595500268,ghost,68057,Master Bedroom,,4,0,MOVE,Hallway
1763595500270,ghost,68057,Hallway,,5,0,MOVE,Basement
1763595500273,ghost,68057,Basement,,6,0,MOVE,Hallway
1763595500275,ghost,68057,Hallway,,7,0,EVIDENCE,infrared
1763595500279,ghost,68057,Hallway,,8,0,MOVE,Van
1763595500282,ghost,68057,Van,,9,0,IDLE,
1763595500285,ghost,68057,Van,,0,0,IDLE,
1763595500287,ghost,68057,Van,,0,0,IDLE,
1763595500291,ghost,68057,Van,,0,0,IDLE,
1763595500293,ghost,68057,Van,,0,0,IDLE,
1763595500295,ghost,68057,Van,,1,0,MOVE,Hallway
1763595500298,ghost,68057,Hallway,,2,0,MOVE,Boy's Bedroom
1763595500301,ghost,68057,Boy's Bedroom,,3,0,IDLE,
1763595500303,ghost,68057,Boy's Bedroom,,4,0,EVIDENCE,orbs
1763595500306,ghost,68057,Boy's Bedroom,,5,0,EVIDENCE,orbs
1763595500308,ghost,68057,Boy's Bedroom,,6,0,MOVE,Hallway
1763595500310,ghost,68057,Hallway,,0,0,IDLE,
1763595500313,ghost,68057,Hallway,,1,0,IDLE,
1763595500315,ghost,68057,Hallway,,2,0,MOVE,Bathroom
1763595500318,ghost,68057,Bathroom,,3,0,MOVE,Hallway
1763595500321,ghost,68057,Hallway,,4,0,MOVE,Master Bedroom
1763595500323,ghost,68057,Master Bedroom,,5,0,IDLE,
1763595500325,ghost,68057,Master Bedroom,,6,0,MOVE,Hallway
1763595500329,ghost,68057,Hallway,,7,0,MOVE,Master Bedroom
1763595500331,ghost,68057,Master Bedroom,,8,0,MOVE,Hallway
1763595500335,ghost,68057,Hallway,,9,0,IDLE,
1763595500337,ghost,68057,Hallway,,10,0,IDLE,
1763595500340,ghost,68057,Hallway,,11,0,MOVE,Kitchen
1763595500343,ghost,68057,Kitchen,,0,0,EVIDENCE,orbs
1763595500348,ghost,68057,Kitchen,,1,0,MOVE,Garage
1763595500351,ghost,68057,Garage,,2,0,EVIDENCE,infrared
1763595500354,ghost,68057,Garage,,3,0,IDLE,
1763595500357,ghost,68057,Garage,,4,0,EVIDENCE,orbs
1763595500360,ghost,68057,Garage,,5,0,MOVE,Utility Room
1763595500363,ghost,68057,Utility Room,,6,0,MOVE,Garage
1763595500366,ghost,68057,Garage,,7,0,IDLE,
1763595500370,ghost,68057,Garage,,8,0,IDLE,
1763595500373,ghost,68057,Garage,,0,0,IDLE,
1763595500375,ghost,68057,Garage,,0,0,IDLE,
1763595500378,ghost,68057,Garage,,0,0,EVIDENCE,writing
1763595500380,ghost,68057,Garage,,0,0,IDLE,
1763595500383,ghost,68057,Garage,,1,0,EVIDENCE,writing
1763595500386,ghost,68057,Garage,,0,0,IDLE,
1763595500389,ghost,68057,Garage,,1,0,IDLE,
1763595500391,ghost,68057,Garage,,2,0,EVIDENCE,writing
1763595500394,ghost,68057,Garage,,3,0,MOVE,Kitchen
1763595500396,ghost,68057,Kitchen,,4,0,MOVE,Garage
1763595500398,ghost,68057,Garage,,5,0,IDLE,
1763595500401,ghost,68057,Garage,,0,0,EVIDENCE,infrared
1763595500403,ghost,68057,Garage,,1,0,MOVE,Kitchen
1763595500406,ghost,68057,Kitchen,,2,0,MOVE,Garage
1763595500408,ghost,68057,Garage,,0,0,IDLE,
1763595500411,ghost,68057,Garage,,1,0,MOVE,Utility Room
1763595500413,ghost,68057,Utility Room,,2,0,EVIDENCE,writing
1763595500417,ghost,68057,Utility Room,,3,0,MOVE,Garage
1763595500420,ghost,68057,Garage,,4,0,MOVE,Kitchen
1763595500426,ghost,68057,Kitchen,,5,0,MOVE,Garage
1763595500429,ghost,68057,Garage,,6,0,MOVE,Kitchen
1763595500431,ghost,68057,Kitchen,,7,0,EVIDENCE,orbs
1763595500434,ghost,68057,Kitchen,,8,0,MOVE,Living Room
1763595500437,ghost,68057,Living Room,,9,0,IDLE,
1763595500439,ghost,68057,Living Room,,10,0,EVIDENCE,writing
1763595500442,ghost,68057,Living Room,,11,0,MOVE,Kitchen
1763595500445,ghost,68057,Kitchen,,12,0,MOVE,Hallway
1763595500447,ghost,68057,Hallway,,13,0,MOVE,Van
1763595500451,ghost,68057,Van,,14,0,IDLE,
1763595500453,ghost,68057,Van,,15,0,EXIT,
1763595625956,ghost,68057,Boy's Bedroom,,0,0,INIT,shade
1763595625974,ghost,68057,Boy's Bedroom,,1,0,MOVE,Hallway
1763595625976,ghost,68057,Hallway,,0,0,EVIDENCE,emf
1763595625979,ghost,68057,Hallway,,0,0,IDLE,
1763595625982,ghost,68057,Hallway,,0,0,IDLE,
1763595625986,ghost,68057,Hallway,,0,0,EVIDENCE,emf
1763595625988,ghost,68057,Hallway,,0,0,IDLE,
1763595625991,ghost,68057,Hallway,,0,0,IDLE,
1763595625995,ghost,68057,Hallway,,0,0,IDLE,
1763595625997,ghost,68057,Hallway,,0,0,IDLE,
1763595625999,ghost,68057,Hallway,,0,0,IDLE,
1763595626002,ghost,68057,Hallway,,0,0,EVIDENCE,writing
1763595626005,ghost,68057,Hallway,,0,0,IDLE,
1763595626007,ghost,68057,Hallway,,0,0,IDLE,
1763595626009,ghost,68057,Hallway,,0,0,IDLE,
1763595626012,ghost,68057,Hallway,,0,0,IDLE,
1763595626015,ghost,68057,Hallway,,0,0,EVIDENCE,writing
1763595626017,ghost,68057,Hallway,,0,0,IDLE,
1763595626020,ghost,68057,Hallway,,0,0,IDLE,
1763595626023,ghost,68057,Hallway,,0,0,IDLE,
1763595626025,ghost,68057,Hallway,,0,0,IDLE,
1763595626028,ghost,68057,Hallway,,0,0,EVIDENCE,temp
1763595626031,ghost,68057,Hallway,,0,0,EVIDENCE,emf
1763595626033,ghost,68057,Hallway,,0,0,EVIDENCE,temp
1763595626036,ghost,68057,Hallway,,0,0,EVIDENCE,temp
1763595626039,ghost,68057,Hallway,,0,0,IDLE,
1763595626041,ghost,68057,Hallway,,0,0,IDLE,
1763595626044,ghost,68057,Hallway,,0,0,IDLE,
1763595626046,ghost,68057,Hallway,,0,0,IDLE,
1763595626048,ghost,68057,Hallway,,0,0,IDLE,
1763595626052,ghost,68057,Hallway,,0,0,IDLE,
1763595626054,ghost,68057,Hallway,,0,0,EVIDENCE,emf
1763595626057,ghost,68057,Hallway,,0,0,EVIDENCE,emf
1763595626060,ghost,68057,Hallway,,0,0,IDLE,
1763595626063,ghost,68057,Hallway,,0,0,IDLE,
1763595626066,ghost,68057,Hallway,,0,0,IDLE,
1763595626069,ghost,68057,Hallway,,0,0,IDLE,
1763595626073,ghost,68057,Hallway,,0,0,EVIDENCE,writing
1763595626076,ghost,68057,Hallway,,0,0,EVIDENCE,emf
1763595626078,ghost,68057,Hallway,,0,0,IDLE,
1763595626080,ghost,68057,Hallway,,0,0,EVIDENCE,writing
1763595626083,ghost,68057,Hallway,,0,0,EVIDENCE,temp
1763595626085,ghost,68057,Hallway,,0,0,IDLE,
1763595626088,ghost,68057,Hallway,,0,0,EVIDENCE,temp
1763595626090,ghost,68057,Hallway,,0,0,EVIDENCE,emf
1763595626093,ghost,68057,Hallway,,1,0,MOVE,Bathroom
1763595626096,ghost,68057,Bathroom,,2,0,MOVE,Hallway
1763595626098,ghost,68057,Hallway,,0,0,EVIDENCE,temp
1763595626101,ghost,68057,Hallway,,0,0,EVIDENCE,writing
1763595626104,ghost,68057,Hallway,,0,0,EVIDENCE,emf
1763595626106,ghost,68057,Hallway,,0,0,IDLE,
1763595626109,ghost,68057,Hallway,,0,0,EVIDENCE,writing
1763595626112,ghost,68057,Hallway,,0,0,EVIDENCE,writing
1763595626114,ghost,68057,Hallway,,0,0,EVIDENCE,emf
1763595626117,ghost,68057,Hallway,,0,0,IDLE,
1763595626120,ghost,68057,Hallway,,0,0,EVIDENCE,writing
1763595626123,ghost,68057,Hallway,,1,0,EVIDENCE,temp
1763595626126,ghost,68057,Hallway,,0,0,EVIDENCE,temp
1763595626129,ghost,68057,Hallway,,1,0,IDLE,
1763595626132,ghost,68057,Hallway,,0,0,IDLE,
1763595626135,ghost,68057,Hallway,,0,0,EVIDENCE,emf
1763595626138,ghost,68057,Hallway,,0,0,EVIDENCE,writing
1763595626142,ghost,68057,Hallway,,0,0,EVIDENCE,temp
1763595626144,ghost,68057,Hallway,,0,0,EVIDENCE,temp
1763595626147,ghost,68057,Hallway,,1,0,EVIDENCE,temp
1763595626150,ghost,68057,Hallway,,0,0,IDLE,
1763595626153,ghost,68057,Hallway,,1,0,MOVE,Basement
1763595626156,ghost,68057,Basement,,2,0,EVIDENCE,writing
1763595626159,ghost,68057,Basement,,0,0,IDLE,
1763595626161,ghost,68057,Basement,,0,0,EVIDENCE,emf
1763595626164,ghost,68057,Basement,,0,0,IDLE,
1763595626167,ghost,68057,Basement,,0,0,IDLE,
1763595626169,ghost,68057,Basement,,0,0,IDLE,
1763595626172,ghost,68057,Basement,,1,0,IDLE,
1763595626175,ghost,68057,Basement,,2,0,MOVE,Basement Hallway
1763595626179,ghost,68057,Basement Hallway,,3,0,IDLE,
1763595626182,ghost,68057,Basement Hallway,,4,0,EVIDENCE,writing
1763595626185,ghost,68057,Basement Hallway,,5,0,EVIDENCE,emf
1763595626187,ghost,68057,Basement Hallway,,6,0,EVIDENCE,emf
1763595626189,ghost,68057,Basement Hallway,,7,0,IDLE,
1763595626193,ghost,68057,Basement Hallway,,8,0,EVIDENCE,writing
1763595626197,ghost,68057,Basement Hallway,,9,0,IDLE,
1763595626206,ghost,68057,Basement Hallway,,10,0,MOVE,Right Storage Room
1763595626209,ghost,68057,Right Storage Room,,11,0,EVIDENCE,writing
1763595626211,ghost,68057,Right Storage Room,,12,0,MOVE,Basement Hallway
1763595626214,ghost,68057,Basement Hallway,,13,0,IDLE,
1763595626216,ghost,68057,Basement Hallway,,14,0,IDLE,
1763595626219,ghost,68057,Basement Hallway,,15,0,EXIT,
1763595627924,ghost,68057,Utility Room,,0,0,INIT,onryo
1763595627943,ghost,68057,Utility Room,,1,0,MOVE,Garage
1763595627946,ghost,68057,Garage,,2,0,MOVE,Kitchen
1763595627949,ghost,68057,Kitchen,,3,0,EVIDENCE,radio
1763595627952,ghost,68057,Kitchen,,4,0,EVIDENCE,radio
1763595627954,ghost,68057,Kitchen,,5,0,MOVE,Hallway
1763595627957,ghost,68057,Hallway,,0,0,EVIDENCE,temp
1763595627959,ghost,68057,Hallway,,0,0,IDLE,
1763595627963,ghost,68057,Hallway,,0,0,IDLE,
1763595627965,ghost,68057,Hallway,,0,0,IDLE,
1763595627968,ghost,68057,Hallway,,0,0,EVIDENCE,temp
1763595627972,ghost,68057,Hallway,,0,0,IDLE,
1763595627977,ghost,68057,Hallway,,0,0,IDLE,
1763595627979,ghost,68057,Hallway,,0,0,EVIDENCE,orbs
1763595627982,ghost,68057,Hallway,,0,0,EVIDENCE,orbs
1763595627984,ghost,68057,Hallway,,0,0,EVIDENCE,radio
1763595627988,ghost,68057,Hallway,,0,0,EVIDENCE,temp
1763595627991,ghost,68057,Hallway,,0,0,EVIDENCE,radio
1763595627993,ghost,68057,Hallway,,0,0,EVIDENCE,temp
1763595627997,ghost,68057,Hallway,,0,0,EVIDENCE,radio
1763595627999,ghost,68057,Hallway,,0,0,IDLE,
1763595628003,ghost,68057,Hallway,,0,0,IDLE,
1763595628005,ghost,68057,Hallway,,0,0,IDLE,
1763595628010,ghost,68057,Hallway,,0,0,EVIDENCE,temp
1763595628012,ghost,68057,Hallway,,0,0,IDLE,
1763595628017,ghost,68057,Hallway,,0,0,EVIDENCE,temp
1763595628019,ghost,68057,Hallway,,0,0,EVIDENCE,orbs
1763595628022,ghost,68057,Hallway,,0,0,EVIDENCE,temp
1763595628024,ghost,68057,Hallway,,0,0,IDLE,
1763595628027,ghost,68057,Hallway,,0,0,IDLE,
1763595628029,ghost,68057,Hallway,,0,0,EVIDENCE,radio
1763595628032,ghost,68057,Hallway,,1,0,MOVE,Bathroom
1763595628034,ghost,68057,Bathroom,,2,0,EVIDENCE,radio
1763595628036,ghost,68057,Bathroom,,3,0,EVIDENCE,radio
1763595628038,ghost,68057,Bathroom,,4,0,EVIDENCE,radio
1763595628041,ghost,68057,Bathroom,,5,0,IDLE,
1763595628043,ghost,68057,Bathroom,,6,0,EVIDENCE,orbs
1763595628046,ghost,68057,Bathroom,,7,0,MOVE,Hallway
1763595628049,ghost,68057,Hallway,,8,0,IDLE,
1763595628053,ghost,68057,Hallway,,9,0,MOVE,Boy's Bedroom
1763595628055,ghost,68057,Boy's Bedroom,,10,0,IDLE,
1763595628058,ghost,68057,Boy's Bedroom,,11,0,IDLE,
1763595628061,ghost,68057,Boy's Bedroom,,12,0,MOVE,Hallway
1763595628063,ghost,68057,Hallway,,0,0,IDLE,
1763595628066,ghost,68057,Hallway,,0,0,IDLE,
1763595628069,ghost,68057,Hallway,,0,0,IDLE,
1763595628071,ghost,68057,Hallway,,0,0,IDLE,
1763595628074,ghost,68057,Hallway,,0,0,EVIDENCE,orbs
1763595628076,ghost,68057,Hallway,,0,0,EVIDENCE,radio
1763595628079,ghost,68057,Hallway,,0,0,EVIDENCE,temp
1763595628082,ghost,68057,Hallway,,0,0,IDLE,
1763595628085,ghost,68057,Hallway,,0,0,IDLE,
1763595628089,ghost,68057,Hallway,,0,0,EVIDENCE,radio
1763595628093,ghost,68057,Hallway,,0,0,IDLE,
