1763595388503,hunter,45077,Van,emf,0,0,INIT,William
1763595388523,hunter,45077,Van,emf,1,0,MOVE,Hallway
1763595388525,hunter,45077,Hallway,emf,0,1,MOVE,Boy's Bedroom
1763595388527,hunter,45077,Boy's Bedroom,emf,1,1,RETURN_START,start
1763595388537,hunter,45077,Boy's Bedroom,emf,1,1,MOVE,Hallway
1763595388539,hunter,45077,Hallway,emf,1,1,MOVE,Van
1763595388542,hunter,45077,Van,emf,1,1,RETURN_COMPLETE,complete
1763595388545,hunter,45077,,orbs,1,1,SWAP,emf->orbs
1763595388583,hunter,45077,Van,orbs,2,1,MOVE,Hallway
1763595388586,hunter,45077,Hallway,orbs,0,2,MOVE,Van
1763595388608,hunter,45077,Van,orbs,1,2,MOVE,Hallway
1763595388611,hunter,45077,Hallway,orbs,2,2,MOVE,Basement
1763595388646,hunter,45077,Basement,orbs,3,2,MOVE,Hallway
1763595388651,hunter,45077,Hallway,orbs,0,3,RETURN_START,start
1763595388654,hunter,45077,Hallway,orbs,0,3,MOVE,Basement
1763595388657,hunter,45077,Basement,orbs,0,3,MOVE,Hallway
1763595388660,hunter,45077,Hallway,orbs,0,3,MOVE,Van
1763595388662,hunter,45077,Van,orbs,0,3,RETURN_COMPLETE,complete
1763595388664,hunter,45077,,radio,0,3,SWAP,orbs->radio
1763595388695,hunter,45077,Van,radio,1,3,MOVE,Hallway
1763595388698,hunter,45077,Hallway,radio,0,4,MOVE,Boy's Bedroom
1763595388700,hunter,45077,Boy's Bedroom,radio,1,4,MOVE,Hallway
1763595388704,hunter,45077,Hallway,radio,0,5,MOVE,Master Bedroom
1763595388722,hunter,45077,Master Bedroom,radio,1,5,MOVE,Hallway
1763595388725,hunter,45077,Hallway,radio,0,6,MOVE,Basement
1763595388729,hunter,45077,Basement,radio,1,6,RETURN_START,start
1763595388736,hunter,45077,Basement,radio,1,6,MOVE,Hallway
1763595388753,hunter,45077,Hallway,radio,1,6,MOVE,Master Bedroom
1763595388755,hunter,45077,Master Bedroom,radio,1,6,MOVE,Hallway
1763595388786,hunter,45077,Hallway,radio,1,6,MOVE,Boy's Bedroom
1763595388790,hunter,45077,Boy's Bedroom,radio,1,6,MOVE,Hallway
1763595388793,hunter,45077,Hallway,radio,1,6,MOVE,Van
1763595388799,hunter,45077,Van,radio,1,6,RETURN_COMPLETE,complete
1763595388804,hunter,45077,,temp,1,6,SWAP,radio->temp
1763595388816,hunter,45077,Van,temp,2,6,MOVE,Hallway
1763595388831,hunter,45077,Hallway,temp,0,7,MOVE,Master Bedroom
1763595388882,hunter,45077,Master Bedroom,temp,1,7,MOVE,Hallway
1763595388895,hunter,45077,Hallway,temp,0,8,MOVE,Bathroom
1763595388897,hunter,45077,Bathroom,temp,1,8,MOVE,Hallway
1763595388900,hunter,45077,Hallway,temp,0,9,MOVE,Bathroom
1763595388902,hunter,45077,Bathroom,temp,1,9,MOVE,Hallway
1763595388914,hunter,45077,Hallway,temp,0,10,MOVE,Boy's Bedroom
1763595388917,hunter,45077,Boy's Bedroom,temp,1,10,MOVE,Hallway
1763595388920,hunter,45077,Hallway,temp,0,11,MOVE,Bathroom
1763595388931,hunter,45077,Bathroom,temp,1,11,MOVE,Hallway
1763595388941,hunter,45077,Hallway,temp,0,12,MOVE,Kitchen
1763595388945,hunter,45077,Kitchen,temp,1,12,MOVE,Hallway
1763595388958,hunter,45077,Hallway,temp,2,12,MOVE,Master Bedroom
1763595388961,hunter,45077,Master Bedroom,temp,3,12,RETURN_START,start
1763595388996,hunter,45077,Master Bedroom,temp,3,12,MOVE,Hallway
1763595388998,hunter,45077,Hallway,temp,3,12,MOVE,Kitchen
1763595389001,hunter,45077,Kitchen,temp,3,12,MOVE,Hallway
1763595389004,hunter,45077,Hallway,temp,3,12,MOVE,Bathroom
1763595389006,hunter,45077,Bathroom,temp,3,12,MOVE,Hallway
1763595389019,hunter,45077,Hallway,temp,3,12,MOVE,Boy's Bedroom
1763595389022,hunter,45077,Boy's Bedroom,temp,3,12,MOVE,Hallway
1763595389025,hunter,45077,Hallway,temp,3,12,MOVE,Bathroom
1763595389028,hunter,45077,Bathroom,temp,3,12,MOVE,Hallway
1763595389031,hunter,45077,Hallway,temp,3,12,MOVE,Bathroom
1763595389033,hunter,45077,Bathroom,temp,3,12,MOVE,Hallway
1763595389036,hunter,45077,Hallway,temp,3,12,MOVE,Master Bedroom
1763595389039,hunter,45077,Master Bedroom,temp,3,12,MOVE,Hallway
1763595389042,hunter,45077,Hallway,temp,3,12,MOVE,Van
1763595389044,hunter,45077,Van,temp,3,12,RETURN_COMPLETE,complete
1763595389046,hunter,45077,Van,temp,3,12,EXIT,evidence
1763595625969,hunter,45077,Van,emf,0,0,INIT,William
1763595625994,hunter,45077,Van,emf,1,0,MOVE,Hallway
1763595626010,hunter,45077,Hallway,emf,0,1,MOVE,Boy's Bedroom
1763595626012,hunter,45077,Boy's Bedroom,emf,1,1,MOVE,Hallway
1763595626015,hunter,45077,Hallway,emf,0,2,MOVE,Bathroom
1763595626018,hunter,45077,Bathroom,emf,1,2,MOVE,Hallway
1763595626020,hunter,45077,Hallway,emf,0,3,MOVE,Kitchen
1763595626023,hunter,45077,Kitchen,emf,1,3,MOVE,Garage
1763595626025,hunter,45077,Garage,emf,2,3,MOVE,Kitchen
1763595626027,hunter,45077,Kitchen,emf,3,3,MOVE,Garage
1763595626031,hunter,45077,Garage,emf,4,3,MOVE,Utility Room
1763595626033,hunter,45077,Utility Room,emf,5,3,MOVE,Garage
